id,area,major_axis,minor_axis,angle,circularity,feret_diameter,aspect_ratio,roundness,solidity,defect_type
247LC.A.1,432.05,69.555,7.909,81.798,0.143,85.075,8.795,0.114,0.51,Crack
247LC.A.2,538.002,80.915,8.466,154.721,0.126,94.744,9.558,0.105,0.474,Crack
247LC.A.3,138.915,25.235,7.009,16.517,0.478,25.538,3.6,0.278,0.822,Crack
247LC.A.4,1643.438,48.896,42.794,156.904,0.729,50.532,1.143,0.875,0.923,Pore
247LC.A.5,143.624,37.861,4.83,128.603,0.149,48.825,7.839,0.128,0.441,Crack
247LC.A.6,196.6,38.072,6.575,105.186,0.195,47.753,5.79,0.173,0.504,Crack
247LC.A.7,1787.062,51.644,44.059,34.747,0.782,55.122,1.172,0.853,0.936,Pore
247LC.A.8,173.055,27.871,7.906,92.767,0.097,51.283,3.526,0.284,0.311,Crack
247LC.A.9,144.801,26.124,7.057,59.305,0.165,44.287,3.702,0.27,0.379,Crack
247LC.A.10,361.415,22.134,20.79,47.21,0.903,24.091,1.065,0.939,0.932,Pore
247LC.A.11,102.421,17.117,7.619,57.668,0.396,20.182,2.247,0.445,0.696,Crack
247LC.A.12,866.454,54.503,20.241,164.504,0.112,104.212,2.693,0.371,0.38,Crack
247LC.A.13,149.51,19.785,9.622,125.872,0.605,22.368,2.056,0.486,0.791,Crack
247LC.A.14,124.788,20.806,7.636,116.199,0.552,22.342,2.725,0.367,0.812,Crack
247LC.A.15,148.333,20.565,9.184,51.706,0.164,36.714,2.239,0.447,0.329,Crack
247LC.A.16,115.37,24.802,5.923,58.842,0.252,30.166,4.188,0.239,0.51,Crack
247LC.A.17,593.333,66.157,11.419,150.796,0.152,95.117,5.793,0.173,0.516,Crack
247LC.A.18,148.333,14.279,13.227,158.383,0.932,15.421,1.079,0.926,0.93,Pore
247LC.A.19,282.54,22.438,16.032,15.536,0.441,28.891,1.4,0.715,0.693,Pore with Crack
247LC.A.20,1679.933,46.845,45.66,139.546,0.663,58.751,1.026,0.975,0.885,Pore
247LC.A.21,1557.499,50.375,39.366,115.869,0.573,55.24,1.28,0.781,0.891,Pore with Crack
247LC.A.22,1025.383,40.219,32.461,126.973,0.865,41.543,1.239,0.807,0.948,Pore
247LC.A.23,507.394,57.638,11.209,123.585,0.289,61.855,5.142,0.194,0.668,Crack
247LC.A.24,104.775,26.682,5,89.066,0.242,31.54,5.337,0.187,0.571,Crack
247LC.A.25,174.233,46.541,4.767,163.278,0.165,51.581,9.764,0.102,0.592,Crack
247LC.A.26,523.875,69.788,9.558,122.325,0.196,75.951,7.302,0.137,0.579,Crack
